match,date,time,home_team,away_team,goals_home,goals_away,referee,attendance,league,season,matchweek
7581,14/11/2021,17:15,Fluminense,Palmeiras,2,1,Caio Max Augusto Vieira,7969,Serie A,2021,32
7582,14/11/2021,18:00,Chapecoense,Juventude,0,2,Alisson Sidnei Furtado,1616,Serie A,2021,32
7583,14/11/2021,18:00,Ceará,Sport,2,1,Marcelo de Lima Henrique  (RJ),20362,Serie A,2021,32
7584,02/12/2021,17:00,Bahia,Atlético-MG,error,error,Flavio Rodrigues de Souza,29228,Serie A,2021,32
7585,16/11/2021,15:00,Athletico-PR,Atlético-MG,0,1,Savio Pereira Sampaio,6233,Serie A,2021,33
7586,16/11/2021,17:00,Grêmio,Bragantino,3,0,Caio Max Augusto Vieira,,Serie A,2021,33
7587,17/11/2021,18:00,Cuiabá,Internacional,1,0,Paulo Roberto Alves Júnior,7750,Serie A,2021,33
7588,17/11/2021,18:00,Santos,Chapecoense,2,0,Paulo Cesar Zanovelli,11574,Serie A,2021,33
7589,17/11/2021,18:00,América-MG,Atlético-GO,0,0,Leandro Pedro Vuaden,2955,Serie A,2021,33
7590,17/11/2021,19:00,Fortaleza,Ceará,0,4,Raphael Claus,28037,Serie A,2021,33
7591,17/11/2021,19:30,Juventude,Fluminense,1,0,Ricardo Marques Ribeiro (MG),5247,Serie A,2021,33
7592,17/11/2021,19:30,Palmeiras,São Paulo,0,2,Marcelo de Lima Henrique  (RJ),35570,Serie A,2021,33
7593,17/11/2021,20:30,Flamengo,Corinthians,1,0,Anderson Daronco,48981,Serie A,2021,33
7594,18/11/2021,20:00,Sport,Bahia,1,0,Flavio Rodrigues de Souza,8096,Serie A,2021,33
7595,28/10/2021,19:00,Bragantino,Sport,3,0,Bruno Arleu de Araújo,931,Serie A,2021,34
7596,20/11/2021,18:00,Chapecoense,Grêmio,1,3,Rodolpho Toski Marques,2830,Serie A,2021,34
7597,20/11/2021,18:00,Fortaleza,Palmeiras,1,0,Ramon Abatti,18139,Serie A,2021,34
7598,20/11/2021,18:00,Atlético-MG,Juventude,2,0,Luiz Flávio de Oliveira (SP),61476,Serie A,2021,34
7599,20/11/2021,20:00,Atlético-GO,Ceará,1,1,Braulio da Silva Machado,2801,Serie A,2021,34
7600,20/11/2021,20:30,Internacional,Flamengo,1,2,Savio Pereira Sampaio,19004,Serie A,2021,34
7601,21/11/2021,15:00,Corinthians,Santos,2,0,Leandro Pedro Vuaden,43583,Serie A,2021,34
7602,21/11/2021,16:00,Fluminense,América-MG,2,0,Héber Lopes,14168,Serie A,2021,34
7603,21/11/2021,18:00,Bahia,Cuiabá,0,0,Raphael Claus,19790,Serie A,2021,34
7604,24/11/2021,20:30,São Paulo,Athletico-PR,0,0,Leandro Pedro Vuaden,43491,Serie A,2021,34
7605,23/11/2021,20:30,Palmeiras,Atlético-MG,2,2,Anderson Daronco,17774,Serie A,2021,35
7606,24/11/2021,20:30,Fluminense,Internacional,1,0,Felipe Fernandes,17916,Serie A,2021,35
7607,25/11/2021,18:00,Santos,Fortaleza,2,0,Wagner do Nascimento Magalhães,11313,Serie A,2021,35
7608,25/11/2021,19:00,Ceará,Corinthians,2,1,Paulo Roberto Alves Júnior,35693,Serie A,2021,35
7609,29/11/2021,18:00,Atlético-GO,Bahia,2,1,Ramon Abatti,10004,Serie A,2021,35
7610,30/11/2021,18:00,Juventude,Bragantino,1,0,Felipe Fernandes,18413,Serie A,2021,35
7611,30/11/2021,20:00,América-MG,Chapecoense,3,0,Luiz Flávio de Oliveira (SP),2043,Serie A,2021,35
7612,02/12/2021,19:00,Grêmio,São Paulo,error,error,Savio Pereira Sampaio,9312,Serie A,2021,35
7613,03/12/2021,18:00,Athletico-PR,Cuiabá,error,error,Braulio da Silva Machado,18795,Serie A,2021,35
7614,03/12/2021,19:00,Sport,Flamengo,error,error,Leandro Pedro Vuaden,10523,Serie A,2021,35
7615,26/11/2021,18:00,Bahia,Grêmio,3,1,Bruno Arleu de Araújo,30671,Serie A,2021,36
7616,27/11/2021,18:30,Bragantino,América-MG,1,1,Anderson Daronco,2673,Serie A,2021,36
7617,27/11/2021,20:30,São Paulo,Sport,2,0,Héber Lopes,35679,Serie A,2021,36
7618,28/11/2021,15:00,Corinthians,Athletico-PR,1,0,Paulo Cesar Zanovelli,37309,Serie A,2021,36
7619,28/11/2021,15:00,Atlético-MG,Fluminense,2,1,Marielson Alves Silva,59896,Serie A,2021,36
7620,28/11/2021,18:00,Internacional,Santos,1,1,Braulio da Silva Machado,13495,Serie A,2021,36
7621,30/11/2021,19:00,Flamengo,Ceará,2,1,Caio Max Augusto Vieira,46481,Serie A,2021,36
7622,30/11/2021,21:00,Cuiabá,Palmeiras,1,3,Paulo Roberto Alves Júnior,27500,Serie A,2021,36
7623,03/12/2021,19:00,Chapecoense,Atlético-GO,error,error,Caio Max Augusto Vieira,1134,Serie A,2021,36
7624,03/12/2021,20:00,Fortaleza,Juventude,error,error,Bruno Arleu de Araújo,45398,Serie A,2021,36
7625,05/12/2021,15:00,Bahia,Fluminense,2,0,Luiz Flávio de Oliveira (SP),26048,Serie A,2021,37
7626,05/12/2021,15:00,Atlético-MG,Bragantino,4,3,Rodolpho Toski Marques,61573,Serie A,2021,37
7627,05/12/2021,15:00,Corinthians,Grêmio,1,1,Bruno Arleu de Araújo,44187,Serie A,2021,37
7628,05/12/2021,18:00,Ceará,América-MG,0,0,Raphael Claus,51123,Serie A,2021,37
7629,06/12/2021,18:00,Athletico-PR,Palmeiras,0,0,Wagner do Nascimento Magalhães,19308,Serie A,2021,37
7630,06/12/2021,18:00,São Paulo,Juventude,3,1,Braulio da Silva Machado,40442,Serie A,2021,37
7631,06/12/2021,19:00,Flamengo,Santos,0,1,Anderson Daronco,41390,Serie A,2021,37
7632,06/12/2021,19:00,Internacional,Atlético-GO,1,2,Flavio Rodrigues de Souza,19265,Serie A,2021,37
7633,06/12/2021,19:00,Cuiabá,Fortaleza,1,0,Héber Lopes,15923,Serie A,2021,37
7634,06/12/2021,20:00,Chapecoense,Sport,0,1,Paulo Cesar Zanovelli,1658,Serie A,2021,37
7635,09/12/2021,20:30,Grêmio,Atlético-MG,4,3,Raphael Claus,33577,Serie A,2021,38
7636,09/12/2021,20:30,Juventude,Corinthians,1,0,Rodolpho Toski Marques,17056,Serie A,2021,38
7637,09/12/2021,20:30,Palmeiras,Ceará,1,0,Savio Pereira Sampaio,5304,Serie A,2021,38
7638,09/12/2021,20:30,Fortaleza,Bahia,2,1,Flavio Rodrigues de Souza,51125,Serie A,2021,38
7639,09/12/2021,20:30,Atlético-GO,Flamengo,2,0,Paulo Roberto Alves Júnior,11728,Serie A,2021,38
7640,09/12/2021,20:30,Santos,Cuiabá,1,1,Wagner do Nascimento Magalhães,12444,Serie A,2021,38
7641,09/12/2021,20:30,Sport,Athletico-PR,1,1,Ramon Abatti,4215,Serie A,2021,38
7642,09/12/2021,20:30,América-MG,São Paulo,2,0,Caio Max Augusto Vieira,9484,Serie A,2021,38
7643,09/12/2021,20:30,Bragantino,Internacional,1,0,Braulio da Silva Machado,5339,Serie A,2021,38
7644,09/12/2021,20:30,Fluminense,Chapecoense,3,0,Leandro Pedro Vuaden,48198,Serie A,2021,38
7645,09/04/2022,16:30,Fluminense,Santos,0,0,Anderson Daronco,20787,Serie A,2022,1
7646,09/04/2022,19:00,Atlético-GO,Flamengo,1,1,Braulio da Silva Machado,10496,Serie A,2022,1
7647,09/04/2022,21:00,Palmeiras,Ceará,2,3,Caio Max Augusto Vieira,27100,Serie A,2022,1
7648,10/04/2022,11:00,Coritiba,Goiás,3,0,Raphael Claus,18600,Serie A,2022,1
7649,10/04/2022,16:00,Atlético-MG,Internacional,2,0,Bruno Arleu de Araújo,37531,Serie A,2022,1
7650,10/04/2022,16:00,Botafogo,Corinthians,1,3,Wilton Sampaio,34344,Serie A,2022,1
7651,10/04/2022,18:00,Fortaleza,Cuiabá,error,error,Felipe Fernandes,18279,Serie A,2022,1
7652,10/04/2022,19:00,Avaí,América-MG,1,0,Luiz Flávio de Oliveira (SP),5081,Serie A,2022,1
7653,10/04/2022,19:00,São Paulo,Athletico-PR,4,0,Wagner do Nascimento Magalhães,20606,Serie A,2022,1
7654,11/04/2022,20:00,Juventude,Bragantino,2,2,Rodolpho Toski Marques,3300,Serie A,2022,1
7655,16/04/2022,16:30,Goiás,Palmeiras,1,1,Braulio da Silva Machado,12864,Serie A,2022,2
7656,16/04/2022,19:00,Corinthians,Avaí,3,0,Bruno Arleu de Araújo,30335,Serie A,2022,2
7657,16/04/2022,19:00,América-MG,Juventude,4,1,Ramon Abatti,1559,Serie A,2022,2
7658,16/04/2022,21:00,Cuiabá,Fluminense,0,1,Savio Pereira Sampaio,10791,Serie A,2022,2
7659,17/04/2022,11:00,Santos,Coritiba,2,1,Wagner do Nascimento Magalhães,13052,Serie A,2022,2
7660,17/04/2022,16:00,Flamengo,São Paulo,3,1,Anderson Daronco,54686,Serie A,2022,2
7661,17/04/2022,18:00,Internacional,Fortaleza,2,1,Flavio Rodrigues de Souza,31783,Serie A,2022,2
7662,17/04/2022,18:00,Athletico-PR,Atlético-MG,0,1,Wilton Sampaio,17305,Serie A,2022,2
7663,17/04/2022,18:00,Bragantino,Atlético-GO,4,0,Paulo Roberto Alves Júnior,2351,Serie A,2022,2
7664,17/04/2022,19:00,Ceará,Botafogo,1,3,Raphael Claus,33734,Serie A,2022,2
7665,23/04/2022,16:30,Athletico-PR,Flamengo,1,0,Raphael Claus,22659,Serie A,2022,3
7666,23/04/2022,16:30,Bragantino,São Paulo,1,1,Bruno Arleu de Araújo,8040,Serie A,2022,3
7667,23/04/2022,19:00,Palmeiras,Corinthians,3,0,Anderson Daronco,23973,Serie A,2022,3
7668,23/04/2022,19:00,Fluminense,Internacional,0,1,Braulio da Silva Machado,16176,Serie A,2022,3
7669,23/04/2022,21:00,Atlético-MG,Coritiba,2,2,Savio Pereira Sampaio,19974,Serie A,2022,3
7670,24/04/2022,16:00,Santos,América-MG,3,0,Wilton Sampaio,10374,Serie A,2022,3
7671,24/04/2022,18:00,Juventude,Cuiabá,0,1,Paulo Roberto Alves Júnior,3920,Serie A,2022,3
7672,24/04/2022,18:30,Atlético-GO,Botafogo,1,1,Luiz Flávio de Oliveira (SP),4427,Serie A,2022,3
7673,25/04/2022,20:00,Avaí,Goiás,3,2,Antonio Dib Moraes de Sousa,5883,Serie A,2022,3
7674,01/06/2022,20:30,Fortaleza,Ceará,0,1,Braulio da Silva Machado,37372,Serie A,2022,3
7675,20/04/2022,19:30,Flamengo,Palmeiras,0,0,Wilton Sampaio,69997,Serie A,2022,4
7676,30/04/2022,16:30,América-MG,Athletico-PR,1,0,Jefferson Ferreira Moraes,2433,Serie A,2022,4
7677,30/04/2022,16:30,Ceará,Bragantino,0,1,Ramon Abatti,23211,Serie A,2022,4
7678,30/04/2022,18:30,Goiás,Atlético-MG,2,2,Bruno Arleu de Araújo,10165,Serie A,2022,4
7679,30/04/2022,19:00,Cuiabá,Atlético-GO,1,1,Douglas Marques Flores,4517,Serie A,2022,4
7680,01/05/2022,11:00,Botafogo,Juventude,1,1,Braulio da Silva Machado,34734,Serie A,2022,4
7681,01/05/2022,16:00,Corinthians,Fortaleza,1,0,Savio Pereira Sampaio,37018,Serie A,2022,4
7682,01/05/2022,16:00,Coritiba,Fluminense,3,2,Raphael Claus,24622,Serie A,2022,4
7683,01/05/2022,19:00,Internacional,Avaí,0,0,Wilton Sampaio,23823,Serie A,2022,4
7684,02/05/2022,20:00,São Paulo,Santos,2,1,Leandro Pedro Vuaden,36746,Serie A,2022,4
7685,07/05/2022,16:30,Atlético-MG,América-MG,1,2,Wilton Sampaio,14629,Serie A,2022,5
7686,07/05/2022,20:30,Athletico-PR,Ceará,1,0,Leandro Pedro Vuaden,22659,Serie A,2022,5
7687,08/05/2022,11:00,Flamengo,Botafogo,0,1,Anderson Daronco,54981,Serie A,2022,5
7688,08/05/2022,16:00,Palmeiras,Fluminense,1,1,Savio Pereira Sampaio,28776,Serie A,2022,5
7689,08/05/2022,16:00,Atlético-GO,Goiás,0,1,Wagner do Nascimento Magalhães,5431,Serie A,2022,5
7690,08/05/2022,18:00,Santos,Cuiabá,4,1,Braulio da Silva Machado,7256,Serie A,2022,5
7691,08/05/2022,18:00,Bragantino,Corinthians,0,1,Raphael Claus,9993,Serie A,2022,5
7692,08/05/2022,19:00,Fortaleza,São Paulo,1,1,Ramon Abatti,25518,Serie A,2022,5
7693,08/05/2022,19:00,Juventude,Internacional,1,1,Bruno Arleu de Araújo,7341,Serie A,2022,5
7694,09/05/2022,20:00,Avaí,Coritiba,2,1,Jefferson Ferreira Moraes,8548,Serie A,2022,5
7695,14/05/2022,16:30,Ceará,Flamengo,2,2,Luiz Flávio de Oliveira (SP),52139,Serie A,2022,6
7696,14/05/2022,16:30,Palmeiras,Bragantino,2,0,Flavio Rodrigues de Souza,36123,Serie A,2022,6
7697,14/05/2022,19:00,Atlético-MG,Atlético-GO,2,0,Anderson Daronco,20749,Serie A,2022,6
7698,14/05/2022,19:00,Internacional,Corinthians,2,2,Braulio da Silva Machado,18482,Serie A,2022,6
7699,14/05/2022,21:00,Fluminense,Athletico-PR,2,1,Ramon Abatti,4722,Serie A,2022,6
7700,15/05/2022,16:00,São Paulo,Cuiabá,2,1,Alexandre Vargas Tavares,27511,Serie A,2022,6
7701,15/05/2022,17:30,Coritiba,América-MG,1,0,Bruno Arleu de Araújo,20818,Serie A,2022,6
7702,15/05/2022,18:00,Botafogo,Fortaleza,3,1,Jefferson Ferreira Moraes,23616,Serie A,2022,6
7703,15/05/2022,18:00,Avaí,Juventude,1,2,Douglas Marques Flores,9355,Serie A,2022,6
7704,15/05/2022,19:00,Goiás,Santos,1,0,Marcelo de Lima Henrique  (RJ),9538,Serie A,2022,6
7705,11/05/2022,20:30,Bragantino,Atlético-MG,1,1,Braulio da Silva Machado,5222,Serie A,2022,7
7706,21/05/2022,16:30,Atlético-GO,Coritiba,2,0,Luiz Flávio de Oliveira (SP),4676,Serie A,2022,7
7707,21/05/2022,16:30,Flamengo,Goiás,1,0,Braulio da Silva Machado,51962,Serie A,2022,7
7708,21/05/2022,18:30,Santos,Ceará,0,0,Savio Pereira Sampaio,25797,Serie A,2022,7
7709,21/05/2022,19:00,Juventude,Palmeiras,0,3,Marcelo de Lima Henrique  (RJ),5513,Serie A,2022,7
7710,21/05/2022,21:00,América-MG,Botafogo,1,1,Raphael Claus,4236,Serie A,2022,7
7711,21/05/2022,21:00,Cuiabá,Internacional,1,1,Ramon Abatti,7968,Serie A,2022,7
7712,22/05/2022,16:00,Corinthians,São Paulo,1,1,Wilton Sampaio,44672,Serie A,2022,7
7713,22/05/2022,16:00,Fortaleza,Fluminense,0,1,Anderson Daronco,37507,Serie A,2022,7
7714,22/05/2022,19:00,Athletico-PR,Avaí,2,1,Flavio Rodrigues de Souza,15949,Serie A,2022,7
7715,28/05/2022,16:30,Goiás,Bragantino,1,1,Ramon Abatti,6283,Serie A,2022,8
7716,28/05/2022,19:00,São Paulo,Ceará,2,2,Bruno Arleu de Araújo,32977,Serie A,2022,8
7717,28/05/2022,20:30,Fortaleza,Juventude,1,1,André Luiz de Freitas Castro,22466,Serie A,2022,8
7718,29/05/2022,16:00,Santos,Palmeiras,0,1,Luiz Flávio de Oliveira (SP),14220,Serie A,2022,8
7719,29/05/2022,16:00,Coritiba,Botafogo,1,0,Braulio da Silva Machado,20302,Serie A,2022,8
7720,29/05/2022,18:00,Corinthians,América-MG,1,1,Anderson Daronco,34922,Serie A,2022,8
7721,29/05/2022,18:00,Cuiabá,Athletico-PR,0,1,Wagner do Nascimento Magalhães,4539,Serie A,2022,8
7722,29/05/2022,18:00,Fluminense,Flamengo,1,2,Raphael Claus,57919,Serie A,2022,8
7723,29/05/2022,19:00,Atlético-MG,Avaí,2,1,Jefferson Ferreira Moraes,31551,Serie A,2022,8
7724,30/05/2022,20:00,Internacional,Atlético-GO,1,1,Marcelo de Lima Henrique  (RJ),11050,Serie A,2022,8
7725,04/06/2022,16:30,América-MG,Cuiabá,2,1,Raphael Claus,2720,Serie A,2022,9
7726,04/06/2022,19:00,Ceará,Coritiba,1,1,Flavio Rodrigues de Souza,27602,Serie A,2022,9
7727,04/06/2022,19:00,Avaí,São Paulo,1,1,Anderson Daronco,11962,Serie A,2022,9
7728,04/06/2022,19:00,Athletico-PR,Santos,2,2,Braulio da Silva Machado,19323,Serie A,2022,9
7729,04/06/2022,20:30,Atlético-GO,Corinthians,0,1,Bruno Arleu de Araújo,12089,Serie A,2022,9
7730,05/06/2022,11:00,Juventude,Fluminense,1,0,Jefferson Ferreira Moraes,2573,Serie A,2022,9
7731,05/06/2022,16:00,Palmeiras,Atlético-MG,0,0,Wilton Sampaio,40235,Serie A,2022,9
7732,05/06/2022,16:00,Flamengo,Fortaleza,1,2,Leandro Pedro Vuaden,63795,Serie A,2022,9
7733,05/06/2022,19:00,Bragantino,Internacional,0,2,Wagner do Nascimento Magalhães,3062,Serie A,2022,9
7734,06/06/2022,20:00,Botafogo,Goiás,1,2,Paulo Henrique Schleinch Vollkopf,30954,Serie A,2022,9
7735,07/06/2022,21:30,Cuiabá,Corinthians,1,0,Marcelo de Lima Henrique  (RJ),22129,Serie A,2022,10
7736,08/06/2022,19:00,América-MG,Ceará,0,2,Douglas Marques Flores,2132,Serie A,2022,10
7737,08/06/2022,19:00,Juventude,Athletico-PR,1,3,Luiz Flávio de Oliveira (SP),3590,Serie A,2022,10
7738,08/06/2022,20:30,Bragantino,Flamengo,1,0,Wilton Sampaio,8627,Serie A,2022,10
7739,08/06/2022,20:30,Atlético-GO,Avaí,2,1,Paulo Roberto Alves Júnior,5251,Serie A,2022,10
7740,08/06/2022,21:30,Santos,Internacional,1,1,Ramon Abatti,8845,Serie A,2022,10
7741,08/06/2022,21:30,Fluminense,Atlético-MG,5,3,Leandro Pedro Vuaden,16143,Serie A,2022,10
7742,09/06/2022,19:00,Palmeiras,Botafogo,4,0,Anderson Daronco,33431,Serie A,2022,10
7743,09/06/2022,20:00,Coritiba,São Paulo,1,1,Wagner do Nascimento Magalhães,21521,Serie A,2022,10
7744,09/06/2022,20:00,Fortaleza,Goiás,1,1,Bruno Arleu de Araújo,30017,Serie A,2022,10
7745,11/06/2022,16:30,Corinthians,Juventude,2,0,Ramon Abatti,34617,Serie A,2022,11
7746,11/06/2022,19:00,Cuiabá,Bragantino,1,1,Paulo Roberto Alves Júnior,4476,Serie A,2022,11
7747,11/06/2022,19:00,Fluminense,Atlético-GO,0,2,Luiz Flávio de Oliveira (SP),27859,Serie A,2022,11
7748,11/06/2022,19:00,Atlético-MG,Santos,1,1,Marcelo de Lima Henrique  (RJ),26501,Serie A,2022,11
7749,11/06/2022,21:00,Internacional,Flamengo,3,1,Braulio da Silva Machado,22392,Serie A,2022,11
7750,12/06/2022,16:00,São Paulo,América-MG,1,0,Savio Pereira Sampaio,26847,Serie A,2022,11
7751,12/06/2022,16:00,Goiás,Ceará,1,1,Wagner do Nascimento Magalhães,9011,Serie A,2022,11
7752,12/06/2022,18:00,Coritiba,Palmeiras,0,2,Leandro Pedro Vuaden,27356,Serie A,2022,11
7753,12/06/2022,19:00,Fortaleza,Athletico-PR,0,0,André Luiz de Freitas Castro,18167,Serie A,2022,11
7754,13/06/2022,19:00,Botafogo,Avaí,0,1,Flavio Rodrigues de Souza,12627,Serie A,2022,11
7755,14/06/2022,21:30,Juventude,Santos,1,2,Rodolpho Toski Marques,3025,Serie A,2022,12
7756,15/06/2022,19:00,Ceará,Atlético-MG,0,0,Luiz Flávio de Oliveira (SP),26774,Serie A,2022,12
7757,15/06/2022,19:00,Bragantino,Coritiba,4,2,Marcelo de Lima Henrique  (RJ),2352,Serie A,2022,12
7758,15/06/2022,20:30,Goiás,Internacional,1,2,Caio Max Augusto Vieira,8892,Serie A,2022,12
7759,15/06/2022,20:30,Flamengo,Cuiabá,2,0,Savio Pereira Sampaio,43930,Serie A,2022,12
7760,15/06/2022,21:30,América-MG,Fluminense,0,0,Anderson Daronco,2599,Serie A,2022,12
7761,15/06/2022,21:30,Athletico-PR,Corinthians,1,1,Leandro Pedro Vuaden,25965,Serie A,2022,12
7762,16/06/2022,16:00,Botafogo,São Paulo,1,0,Wilton Sampaio,18677,Serie A,2022,12
7763,16/06/2022,18:00,Palmeiras,Atlético-GO,4,2,Ramon Abatti,38888,Serie A,2022,12
7764,16/06/2022,19:00,Avaí,Fortaleza,3,2,Raphael Claus,8937,Serie A,2022,12
7765,18/06/2022,19:00,Corinthians,Goiás,1,0,Braulio da Silva Machado,35900,Serie A,2022,13
7766,18/06/2022,19:00,Cuiabá,Ceará,0,0,Flavio Rodrigues de Souza,7512,Serie A,2022,13
7767,18/06/2022,19:00,Fluminense,Avaí,2,0,Paulo Roberto Alves Júnior,15530,Serie A,2022,13
7768,18/06/2022,19:00,Internacional,Botafogo,2,3,Savio Pereira Sampaio,26219,Serie A,2022,13
7769,18/06/2022,19:00,São Paulo,Palmeiras,1,2,Anderson Daronco,31055,Serie A,2022,13
7770,18/06/2022,19:00,Fortaleza,América-MG,1,0,Leandro Pedro Vuaden,17709,Serie A,2022,13
7771,18/06/2022,21:00,Santos,Bragantino,2,2,Douglas Marques Flores,710,Serie A,2022,13
7772,19/06/2022,16:00,Atlético-MG,Flamengo,2,0,Raphael Claus,55373,Serie A,2022,13
7773,19/06/2022,16:00,Coritiba,Athletico-PR,0,1,Luiz Flávio de Oliveira (SP),22609,Serie A,2022,13
7774,19/06/2022,18:00,Atlético-GO,Juventude,3,1,Marcelo de Lima Henrique  (RJ),4524,Serie A,2022,13
7775,24/06/2022,21:30,Internacional,Coritiba,3,0,Jefferson Ferreira Moraes,13454,Serie A,2022,14
7776,25/06/2022,16:30,Athletico-PR,Bragantino,4,2,Caio Max Augusto Vieira,16327,Serie A,2022,14
7777,25/06/2022,19:00,Botafogo,Fluminense,0,1,Anderson Daronco,29791,Serie A,2022,14
7778,25/06/2022,19:00,Avaí,Palmeiras,2,2,Wagner do Nascimento Magalhães,15233,Serie A,2022,14
7779,25/06/2022,19:00,Flamengo,América-MG,3,0,Ramon Abatti,42931,Serie A,2022,14
7780,25/06/2022,19:00,São Paulo,Juventude,0,0,André Luiz de Freitas Castro,20466,Serie A,2022,14
7781,25/06/2022,19:00,Corinthians,Santos,0,0,Flavio Rodrigues de Souza,40842,Serie A,2022,14
7782,25/06/2022,21:00,Atlético-MG,Fortaleza,3,2,Jean Pierre Goncalves Lima,30003,Serie A,2022,14
7783,26/06/2022,18:00,Ceará,Atlético-GO,1,1,Douglas Marques Flores,21337,Serie A,2022,14
7784,26/06/2022,18:00,Goiás,Cuiabá,1,0,Rodolpho Toski Marques,8871,Serie A,2022,14
7785,02/07/2022,16:30,Juventude,Atlético-MG,1,2,Flavio Rodrigues de Souza,6565,Serie A,2022,15
7786,02/07/2022,19:00,Santos,Flamengo,1,2,Anderson Daronco,12464,Serie A,2022,15
7787,02/07/2022,19:00,Avaí,Cuiabá,1,2,Jean Pierre Goncalves Lima,13103,Serie A,2022,15
7788,02/07/2022,19:00,Fluminense,Corinthians,4,0,Wilton Sampaio,44782,Serie A,2022,15
7789,02/07/2022,19:00,Coritiba,Fortaleza,2,1,Felipe Fernandes,20156,Serie A,2022,15
7790,02/07/2022,19:00,Bragantino,Botafogo,0,1,Ramon Abatti,4509,Serie A,2022,15
7791,02/07/2022,19:00,Ceará,Internacional,1,1,Rodolpho Toski Marques,23283,Serie A,2022,15
7792,02/07/2022,21:00,Palmeiras,Athletico-PR,0,2,Braulio da Silva Machado,39192,Serie A,2022,15
7793,03/07/2022,16:00,Atlético-GO,São Paulo,1,2,Wagner do Nascimento Magalhães,12089,Serie A,2022,15
7794,03/07/2022,18:00,América-MG,Goiás,1,0,Caio Max Augusto Vieira,2339,Serie A,2022,15
7795,09/07/2022,16:30,Bragantino,Avaí,4,0,Marcelo de Lima Henrique  (RJ),3162,Serie A,2022,16
7796,09/07/2022,19:00,Fluminense,Ceará,2,1,Luiz Flávio de Oliveira (SP),63707,Serie A,2022,16
7797,09/07/2022,20:30,Goiás,Athletico-PR,2,1,Raphael Claus,9044,Serie A,2022,16
7798,10/07/2022,11:00,Coritiba,Juventude,2,2,Bruno Arleu de Araújo,20235,Serie A,2022,16
7799,10/07/2022,16:00,Corinthians,Flamengo,1,0,Ramon Abatti,44055,Serie A,2022,16
7800,10/07/2022,18:00,Fortaleza,Palmeiras,0,0,Wilton Sampaio,24888,Serie A,2022,16
7801,10/07/2022,18:00,Atlético-MG,São Paulo,0,0,Anderson Daronco,52356,Serie A,2022,16
7802,10/07/2022,18:00,Santos,Atlético-GO,1,0,Braulio da Silva Machado,8588,Serie A,2022,16
7803,10/07/2022,19:00,Cuiabá,Botafogo,2,0,Jefferson Ferreira Moraes,14719,Serie A,2022,16
7804,11/07/2022,20:00,Internacional,América-MG,1,0,Flavio Rodrigues de Souza,19023,Serie A,2022,16
7805,16/07/2022,16:30,Athletico-PR,Internacional,0,0,Ramon Abatti,21402,Serie A,2022,17
7806,16/07/2022,19:00,Avaí,Santos,1,0,Paulo Roberto Alves Júnior,8674,Serie A,2022,17
7807,16/07/2022,19:00,Flamengo,Coritiba,2,0,Flavio Rodrigues de Souza,33778,Serie A,2022,17
7808,16/07/2022,21:00,Ceará,Corinthians,3,1,Leandro Pedro Vuaden,28683,Serie A,2022,17
7809,17/07/2022,11:00,Juventude,Goiás,0,0,Vinicius Gonçalves Dias Araujo,4406,Serie A,2022,17
7810,17/07/2022,16:00,São Paulo,Fluminense,2,2,Wilton Sampaio,47141,Serie A,2022,17
7811,17/07/2022,18:00,Atlético-GO,Fortaleza,0,1,Jean Pierre Goncalves Lima,7262,Serie A,2022,17
7812,17/07/2022,18:00,Botafogo,Atlético-MG,0,1,Raphael Claus,8678,Serie A,2022,17
7813,17/07/2022,19:00,América-MG,Bragantino,0,3,Wagner do Nascimento Magalhães,1920,Serie A,2022,17
7814,18/07/2022,20:00,Palmeiras,Cuiabá,1,0,Anderson Daronco,39033,Serie A,2022,17
7815,19/07/2022,21:30,Ceará,Avaí,1,0,Caio Max Augusto Vieira,37567,Serie A,2022,18
7816,20/07/2022,19:00,Goiás,Fluminense,2,3,Paulo Roberto Alves Júnior,11974,Serie A,2022,18
7817,20/07/2022,19:00,Bragantino,Fortaleza,2,1,Diego Pombo Lopez,4048,Serie A,2022,18
7818,20/07/2022,19:30,Athletico-PR,Atlético-GO,4,1,Bruno Arleu de Araújo,22426,Serie A,2022,18
7819,20/07/2022,20:30,Flamengo,Juventude,4,0,Paulo Cesar Zanovelli,65392,Serie A,2022,18
7820,20/07/2022,20:30,Internacional,São Paulo,3,3,Marcelo de Lima Henrique  (RJ),32804,Serie A,2022,18
7821,20/07/2022,21:30,Corinthians,Coritiba,3,1,Wagner do Nascimento Magalhães,39852,Serie A,2022,18
7822,20/07/2022,21:30,Santos,Botafogo,2,0,Ramon Abatti,8453,Serie A,2022,18
7823,21/07/2022,19:00,Cuiabá,Atlético-MG,1,1,Jean Pierre Goncalves Lima,18584,Serie A,2022,18
7824,21/07/2022,20:00,América-MG,Palmeiras,0,1,Braulio da Silva Machado,6462,Serie A,2022,18
7825,23/07/2022,19:00,São Paulo,Goiás,3,3,Caio Max Augusto Vieira,39393,Serie A,2022,19
7826,23/07/2022,19:00,Fortaleza,Santos,0,0,Wilton Sampaio,19902,Serie A,2022,19
7827,23/07/2022,21:00,Botafogo,Athletico-PR,2,0,Anderson Daronco,8105,Serie A,2022,19
7828,24/07/2022,11:00,Avaí,Flamengo,1,2,Raphael Claus,17557,Serie A,2022,19
