,match,team,time,player,desc
20915,8160,h,45+1',Stiven Mendoza,Gol
20916,8160,a,61',Guilherme,Gol
20917,8160,h,62',Vladimir,Cartão vermelho
20918,8160,a,81',João Magno,Gol
20919,8160,h,90+4',Stiven Mendoza,Gol de pênalti
20920,8160,a,90+11',Guilherme,Cartão vermelho
20921,8161,h,25',Germán Cano,Gol
20922,8161,h,40',Martinelli,Gol
20923,8163,h,84',Pikachu,Gol
20924,8164,a,74',Eduardo,Gol
20925,8164,a,88',Carlos Alberto,Gol
20926,8165,h,48',Eduardo,Gol
20927,8165,h,60',Leonel Di Placido,Gol
20928,8167,a,90+7',Luiz Araújo,Cartão vermelho
20929,8168,a,19',Deyverson,Gol
20930,8169,h,22',Jonathan Calleri,Gol de pênalti
20931,8169,h,45+1',Jonathan Calleri,Gol
20932,8169,h,79',David,Gol
20933,8169,h,88',Alexandre Pato,Gol
20934,8169,a,90+3',Marcos Leonardo,Gol de pênalti
20935,8171,h,24',Vitor Roque,Gol
20936,8171,h,35',Erick,Gol
20937,8172,a,90+2',Guilherme Arana,Cartão vermelho
20938,8173,a,21',Nathan,Gol
20939,8173,a,27',Franco Cristaldo,Gol
20940,8173,h,45',Fábio Santos,Gol de pênalti
20941,8173,h,45+4',Lucas Veríssimo,Gol
20942,8173,h,45+6',Yuri Alberto,Gol
20943,8173,a,51',Everton Galdino,Gol
20944,8173,a,58',Luis Suárez,Gol
20945,8173,h,67',Giuliano,Gol
20946,8174,h,45+5',Iago Maidana,Cartão vermelho
20947,8174,a,90+1',Jair,Gol
20948,8174,h,90+9',Felipe Azevedo,Cartão vermelho
20949,8175,h,8',Richard Ríos,Gol
20950,8175,a,45',Juan Martín Lucero,Gol de pênalti
20951,8175,h,76',Raphael Veiga,Gol
20952,8175,h,90+6',Breno Lopes,Gol
20953,8176,a,84',Felipe Azevedo,Gol
20954,8176,h,90+5',Victor Hugo,Gol
20955,8177,h,58',Deyverson,Pênalti perdido
20956,8177,h,66',Clayson,Gol de pênalti
20957,8177,h,78',Isidro Pitta,Gol
20958,8177,a,90+9',Nathan Mendes,Gol
20959,8179,h,11',Ronald Falkoski,Gol
20960,8180,a,28',João Magno,Gol
20961,8181,h,24',Marcos Leonardo,Gol
20962,8181,h,81',Marcos Leonardo,Gol
20963,8181,a,84',Tiquinho Soares,Gol
20964,8181,a,87',Adryelson,Gol
20965,8183,a,71',Christian,Gol
20966,8183,a,80',Vitor Bueno,Gol de pênalti
20967,8183,a,90+5',Zé Ivaldo,Cartão vermelho
20968,8184,h,24',Robson,Gol de pênalti
20969,8184,h,28',Diogo de Oliveira,Gol
20970,8185,a,8',Arthur Gomes,Gol
20971,8185,a,37',Arthur Gomes,Gol
20972,8185,h,41',Madson,Gol
20973,8185,h,78',Pablo,Gol
20974,8185,a,82',Wesley,Gol
20975,8185,h,87',Fernandinho,Gol de pênalti
20976,8186,h,27',Leonardo Fernández,Pênalti perdido
20977,8186,h,77',Germán Cano,Gol
20978,8187,h,16',Fabricio Bustos,Gol
20979,8187,a,44',Raniele,Gol
20980,8187,h,66',Gabriel Mercado,Segundo cartão amarelo
20981,8187,a,88',Deyverson,Gol
20982,8188,a,23',Luan Cândido,Gol
20983,8188,a,69',Bruno Gonçalves,Gol
20984,8188,a,90+2',Thiago Borbas,Gol
20985,8189,h,19',Maycon,Gol
20986,8189,h,61',Yuri Alberto,Gol
20987,8189,a,70',Gabriel Pec,Gol
20988,8189,h,73',Róger Guedes,Gol de pênalti
20989,8190,h,33',Paulinho,Gol
20990,8190,a,79',Giorgian de Arrascaeta,Gol
20991,8190,a,87',Wesley,Gol
20992,8192,h,3',Gustavo Sauer,Gol
20993,8192,a,9',Bruno Gomes,Gol
20994,8192,h,36',Tiquinho Soares,Gol
20995,8192,h,45+3',Gustavo Sauer,Gol
20996,8192,h,51',Tiquinho Soares,Gol
20997,8193,a,18',Murilo,Gol
20998,8193,a,26',Rony,Gol
20999,8193,h,38',Nicolas,Gol
21000,8193,a,53',Artur,Gol
21001,8193,a,59',Rony,Gol
21002,8194,h,77',Matheus Babi,Gol
21003,8194,a,90+3',André Henrique,Gol
21004,8195,a,30',Pablo,Gol
21005,8195,h,90+6',Marcos Leonardo,Gol de pênalti
21006,8196,a,13',Renato Augusto,Gol
21007,8196,h,17',Bruno Henrique,Gol
21008,8196,a,86',Fábio Santos,Gol de pênalti
21009,8196,h,90+2',Carlos de Pena,Segundo cartão amarelo
21010,8196,h,90+9',Luiz Adriano,Gol
21011,8197,h,53',Tobias Figueiredo,Gol-contra
21012,8198,h,15',Jhon Arias,Gol de pênalti
21013,8198,h,59',John Kennedy,Gol
21014,8198,h,89',Lelê,Segundo cartão amarelo
21015,8198,a,90+6',Gustavo Gómez,Gol
21016,8199,a,4',Hulk,Gol
21017,8199,a,69',Cristian Pavón,Gol de pênalti
21018,8200,h,80',Pablo Vegetti,Gol
21019,8201,a,19',Sorriso,Gol
21020,8202,h,26',Everaldo,Gol
21021,8202,a,52',Gonzalo Mastriani,Gol
21022,8202,h,60',Cauly,Gol
21023,8202,a,65',Esteban Burgos,Segundo cartão amarelo
21024,8202,h,69',Rafael Ratão,Gol
21025,8204,h,46',Matheus Alexandre,Gol
21026,8204,h,54',Clayson,Gol
21027,8204,h,80',Deyverson,Gol
21028,8205,a,18',Mauricio,Gol
21029,8205,h,55',Victor Sá,Gol
21030,8205,h,58',Nicolás Hernández,Gol-contra
21031,8205,h,73',Luis Henrique,Gol
21032,8206,h,49',Paulinho,Gol
21033,8207,a,34',Lucas Halter,Gol
21034,8207,h,90+4',Daniel Borges,Cartão vermelho
21035,8208,a,19',Germán Cano,Gol
21036,8208,h,25',Bitello,Gol
21037,8208,h,45+1',Ferreirinha,Gol
21038,8209,a,28',Murillo,Gol-contra
21039,8209,h,51',Gil,Gol
21040,8209,h,54',Yuri Alberto,Gol
21041,8209,h,67',Wesley,Gol
21042,8210,a,38',Lucas Moura,Gol
21043,8210,h,90+6',Pedro,Gol de pênalti
21044,8211,h,58',Imanol Machuca,Gol
21045,8211,h,80',João Basso,Gol-contra
21046,8211,h,83',Caio Alexandre,Gol
21047,8211,h,90+1',Bruno Pacheco,Gol
21048,8212,h,90+6',José Manuel López,Gol
21049,8213,a,32',Pablo Vegetti,Gol de pênalti
21050,8213,h,45+8',Gustavo Neves,Gol
21051,8214,h,45',Agustín Canobbio,Gol
21052,8214,h,82',Bruno Zapelli,Gol
21053,8216,a,13',Thiago Galhardo,Gol de pênalti
21054,8217,a,31',Raphael Veiga,Gol
21055,8217,a,66',Richard Ríos,Gol
21056,8218,a,52',Felipe Azevedo,Gol
21057,8218,h,58',John Kennedy,Gol
21058,8218,h,65',Germán Cano,Gol
21059,8218,h,89',Jhon Arias,Gol
21060,8219,h,45',Rafael Elias,Gol
21061,8219,a,90+8',Gustavo Silva,Gol
21062,8220,h,5',Serginho,Gol
21063,8221,h,9',Rezende,Gol
21064,8221,h,38',Vitor Hugo,Gol
21065,8221,h,60',Vinicius Mingotti,Gol
21066,8221,h,84',Cauly,Gol
21067,8222,a,46',Franco Cristaldo,Gol
21068,8222,h,63',Marcos Leonardo,Gol
21069,8222,h,90',Julio Furch,Gol
21070,8222,a,90+2',Reinaldo,Segundo cartão amarelo
21071,8223,h,15',Robson,Gol de pênalti
21072,8223,a,19',Gabriel Barbosa,Gol de pênalti
21073,8223,a,31',Giorgian de Arrascaeta,Gol
21074,8223,h,46',Edu,Gol
21075,8223,a,90+4',Gerson,Gol
21076,8224,a,39',Vitor Roque,Gol
21077,8224,h,81',Alesson,Gol
21078,8226,a,59',Guilherme,Gol de pênalti
21079,8226,h,82',Maycon,Gol
21080,8227,h,55',Thiago Borbas,Gol
21081,8227,h,83',Talisson,Gol
21082,8228,h,4',Diego Costa,Gol
21083,8228,h,52',Diego Costa,Gol
21084,8228,h,76',Luis Henrique,Gol
21085,8229,h,12',Paulinho,Gol
21086,8229,h,67',Paulinho,Gol
21087,8230,h,61',Gonzalo Mastriani,Gol
21088,8230,h,73',Gonzalo Mastriani,Cartão vermelho
21089,8230,a,74',Robert Arboleda,Cartão vermelho
21090,8230,a,81',Alexandre Pato,Pênalti perdido
21091,8230,a,81',Alexandre Pato,Gol
21092,8230,h,90',Rodrigo Varanda,Gol
21093,8231,h,13',Cacá,Gol
21094,8231,h,22',Vinicius Kauê,Cartão vermelho
21095,8231,a,76',Guga,Gol
21096,8231,a,87',João Neto,Gol
21097,8231,h,90+3',Vitor Roque,Gol
21098,8232,h,42',Juan Martín Lucero,Gol de pênalti
21099,8232,h,45+4',Juan Martín Lucero,Gol
21100,8232,h,60',Marinho,Gol
21101,8232,a,68',Benjamín Kuscevic,Gol
21102,8232,a,84',Robson,Pênalti perdido
21103,8233,h,65',Raphael Veiga,Gol
21104,8234,h,29',Luis Suárez,Gol
21105,8234,h,54',Felipe Carballo,Gol
21106,8234,h,78',Pepê,Gol
21107,8235,a,6',Paulinho,Gol
21108,8235,h,78',Vitor Roque,Gol
21109,8235,h,82',Fernandinho,Segundo cartão amarelo
21110,8236,h,90+1',Maguinho,Segundo cartão amarelo
21111,8236,a,90+2',Luiz Adriano,Cartão vermelho
